filename|size|quality|prompt
logo-primary-emblem.png|1024x1024|high|Primary game logo emblem for "Nova Pouch" in layered paper-cut style. Distinct pouch silhouette opening at the center, 3 layered orbs in red blue green emerging, premium modern composition, deep navy background, tactile paper shadows, clean and iconic, no text.
logo-seal-roundel.png|1024x1024|high|Round seal logo mark for "Nova Pouch" in refined paper-cut style. Circular ring with cut-paper layers and central pouch symbol, tri-color accents red blue green, balanced symmetry, modern and collectible badge, no text.
logo-app-icon.png|1024x1024|high|App icon for "Nova Pouch" matching existing paper-cut direction. Simplified pouch glyph with layered cut-paper depth, high contrast silhouette, red blue green accent tabs, clean edges, no text, optimized for small-size legibility.
logo-hero-mark.png|1536x1024|high|Hero logo art for "Nova Pouch" in paper-cut style. Centered pouch emblem with flowing layered strips and tri-color tokens red blue green, cinematic yet minimal, modern game branding, no text.
item-umbrella.png|1024x1024|medium|Single object icon: umbrella in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-watch.png|1024x1024|medium|Single object icon: analog wristwatch in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-key.png|1024x1024|medium|Single object icon: key in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-map.png|1024x1024|medium|Single object icon: folded map in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-door.png|1024x1024|medium|Single object icon: door in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-seed.png|1024x1024|medium|Single object icon: sprouting seed in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-mask.png|1024x1024|medium|Single object icon: theatrical mask in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
item-compass.png|1024x1024|medium|Single object icon: compass in the exact same paper-cut style as Nova Pouch logo set. Isolated centered icon, layered cut-paper depth, warm shadows, modern playful tone, transparent or plain neutral background, no text.
token-card-red.png|1024x1024|medium|UI token card concept in paper-cut style for red pouch (object realm). Rectangular card, layered paper border, red dominant palette, central pouch/object motif, clean game UI component, no readable text.
token-card-blue.png|1024x1024|medium|UI token card concept in paper-cut style for blue pouch (attribute realm). Rectangular card, layered paper border, blue dominant palette, central energy/attribute motif, clean game UI component, no readable text.
token-card-green.png|1024x1024|medium|UI token card concept in paper-cut style for green pouch (constraint realm). Rectangular card, layered paper border, green dominant palette, central rule/constraint motif, clean game UI component, no readable text.
concept-sheet-items.png|1536x1024|high|Concept sheet of Nova Pouch item family in coherent paper-cut style. Arrange 6-8 icons (umbrella, watch, key, map, door, seed, mask, compass) on one board, consistent geometry, color swatches with red blue green accents, professional art direction board, no text.
